ëŒè€ï”,ó◊ê⁄ÉGÉäÉA,
0,0,
1,0,
2,1,
3,1,
4,2,
5,2,
6,0,
7,0,1
8,1,2
9,2,
10,3,
11,0,3
12,0,4
13,1,4
14,1,5
15,2,5
16,2,6
17,6,
18,3,
19,3,4
20,4,5
21,5,6
22,6,
23,7,
24,3,7
25,3,8
26,4,8
27,4,9
28,5,9
29,5,10
30,6,10
31,6,11
32,11,
33,7,
34,7,8
35,8,9
36,9,10
37,10,11
38,11,
39,7,
40,7,12
41,8,12
42,8,13
43,9,13
44,9,14
45,10,14
46,10,15
47,11,15
48,11,
49,12,
50,12,13
51,13,14
52,14,15
53,15,
54,12,
55,12,16
56,13,16
57,13,17
58,14,17
59,14,18
60,15,18
61,15,
62,16,
63,16,17
64,17,18
65,18,
66,16,
67,16,
68,17,
69,17,
70,18,
71,18,
