ëŒè€ï”,ó◊ê⁄ï”,,,
0,1,6,,
1,0,2,7,
2,1,3,7,
3,2,4,8,
4,3,5,8,
5,4,9,,
6,0,10,11,
7,1,2,12,13
8,3,4,14,15
9,5,16,17,
10,6,11,18,
11,6,10,12,19
12,7,11,13,19
13,7,12,14,20
14,8,13,15,20
15,8,14,16,21
16,9,15,17,21
17,9,16,22,
18,10,23,24,
19,11,12,25,26
20,13,14,27,28
21,15,16,29,30
22,17,31,32,
23,18,24,33,
24,18,23,25,34
25,19,24,26,34
26,19,25,27,35
27,20,36,38,35
28,20,27,29,36
29,21,28,30,36
30,21,29,31,37
31,22,30,32,37
32,22,31,38,
33,23,39,,
34,24,25,40,41
35,26,27,42,43
36,28,29,44,45
37,30,31,46,47
38,32,48,,
39,33,40,49,
40,34,39,41,49
41,34,40,42,50
42,35,41,43,50
43,35,42,44,51
44,36,43,45,51
45,36,44,46,52
46,37,45,47,52
47,37,46,48,53
48,38,47,53,
49,39,40,54,
50,41,42,55,56
51,43,44,57,58
52,45,46,59,60
53,47,48,61,
54,49,55,62,
55,50,54,56,62
56,50,55,57,63
57,51,56,58,63
58,51,57,59,64
59,52,58,60,64
60,52,59,61,65
61,53,60,65,
62,54,55,66,
63,56,57,67,68
64,58,59,69,70
65,60,61,71,
66,62,67,,
67,63,66,68,
68,63,67,69,
69,64,68,70,
70,64,69,71,
71,65,70,,
