ëŒè€ï”,ó◊ê⁄í∏ì_,
0,0,3
1,0,4
2,1,4
3,1,5
4,2,5
5,2,6
6,3,7
7,4,8
8,5,9
9,6,10
10,7,11
11,7,12
12,8,12
13,8,13
14,9,13
15,9,14
16,10,14
17,10,15
18,11,16
19,12,17
20,13,18
21,14,19
22,15,20
23,16,21
24,16,22
25,17,22
26,17,23
27,18,23
28,18,24
29,19,24
30,19,25
31,20,25
32,20,26
33,21,27
34,22,28
35,23,29
36,24,30
37,25,31
38,26,32
39,27,33
40,28,33
41,28,34
42,29,34
43,29,35
44,30,35
45,30,36
46,31,36
47,31,37
48,32,37
49,33,38
50,34,39
51,35,40
52,36,41
53,37,42
54,38,43
55,39,43
56,39,44
57,40,44
58,40,45
59,41,45
60,41,46
61,42,46
62,43,47
63,44,48
64,45,49
65,46,50
66,47,51
67,48,51
68,48,52
69,49,52
70,49,53
71,50,53
