ëŒè€í∏ì_,ó◊ê⁄ÉGÉäÉA,,
0,0,,
1,1,,
2,2,,
3,0,,
4,0,1,
5,1,2,
6,2,,
7,0,3,
8,0,1,4
9,1,2,5
10,2,6,
11,3,,
12,0,3,4
13,1,4,5
14,2,5,6
15,6,,
16,3,7,
17,3,4,8
18,4,5,9
19,5,6,10
20,6,11,
21,7,,
22,3,7,8
23,4,8,9
24,5,9,10
25,6,10,11
26,11,,
27,7,,
28,7,8,12
29,8,9,13
30,9,10,14
31,10,11,15
32,11,,
33,7,12,
34,8,12,13
35,9,13,14
36,10,14,15
37,11,15,
38,12,,
39,12,13,16
40,13,14,17
41,14,15,18
42,15,,
43,12,16,
44,13,16,17
45,14,17,18
46,15,18,
47,16,,
48,16,17,
49,17,18,
50,18,,
51,16,,
52,17,,
53,18,,
